canonical_id,F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-StringBuffer,F16-Boolean,F16-Object,F16-NA,F16-void,F16-Process,F16-int,F16-URL,F16-boolean,F16-Enumeration,F16-URL[],F16-String,F16-InputStream,F16-Resource,F16-Reader,F16-PrintStream,F16-Iterator<Resource>,F16-File,F16-Map<URL Location>,F16-DateFormat,F3-NA,F3-Class,F3-Integer,F3-Long,F3-PrintStream,F3-File,F3-InputStream,F3-Project,F3-byte[],F3-null,F3-boolean,F3-Object,F3-FileInputStream,F3-FileOutputStream,F3-char,F3-nestedTask.getTaskName(),F3-String,F3-long,F3-int,F3-Project.MSG_DEBUG,F7--,F7-/,F7-++,F7-+=,F7-NA,F7-*,F7-+,F12-long,F12-int,F12-List<ResourceComparator>,F12-Object,F12-NA,F12-List<NameEntry>,F12-boolean,F12-String,F12-AssertionFailedError,F12-Vector<Object>,F12-URL,F12-File,F12-Feature,F12-Mapper,F12-Vector<FileSelector>,F12-FileUtils,F12-ArrayList,F12-Collection<Resource>,F12-Union,F12-Path,F17-final,F17-static,F17-static-final,F17-NA,F2-AbstractFileSetTest,F2-Process,F2-Document,F2-DirectoryScanner,F2-Thread,F2-NA,F2-Vector<String>,F2-ByteArrayOutputStream,F2-StringBuffer,F2-Properties,F2-Object,F2-String,F2-Iterator,F2-Map,F2-Hashtable,F2-BufferedReader,F2-System,F2-MockProject,F2-OutputStream,F2-File,F6-java.io.ByteArrayOutputStream,F6-java.io.BufferedWriter,F6-NA,F6-java.lang.Long,F6-org.apache.tools.ant.taskdefs.FileResource,F6-java.io.InputStreamReader,F6-java.io.FileOutputStream,F6-java.io.FileInputStream,F6-java.util.Properties,F6-java.io.PrintStream,F6-java.io.ByteArrayInputStream,F6-java.lang.Integer,F6-org.apache.tools.ant.util.LayoutPreservingProperties,F6-java.io.FileReader,F6-java.io.File,F6-java.util.ArrayList<org.apache.tools.ant.types.PatternSet.NameEntry>,F6-java.lang.String,F6-java.lang.StringBuffer,F6-org.apache.tools.ant.types.Path,F6-java.io.BufferedReader,F13-private,F13-NA,F13-protected,F13-public,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-NA,F1-delete,F1-NA,F1-close,F1-next,F1-assertEquals,F1-write,F1-getInstance,F1-get,F1-listFiles,F1-equals,F1-getProperty,F1-resolveFile,F1-put,F1-load,F1-createTempFile,F1-log,F1-toString,F1-list,F1-getInputStream,F1-assertTrue,F5-java.util.AbstractMap,F5-DataType,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-Task,F5-java.io.OutputStreamWriter,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.io.InputStream,F5-java.io.FilterInputStream,F5-java.io.InputStreamReader,F5-java.lang.Number,F5-java.io.Reader,F5-java.util.AbstractList,F5-java.lang.RuntimeException,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-EnumeratedAttribute,F5-java.text.DateFormat,F9-srcDir,F9-anonymousSchema,F9-failOnError,F9-ignoreSystemclasses,F9-uname,F9-replyto,F9-extDirs,F9-keys,F9-lastmodified,F9-dateTime,F9-trim,F9-NA,F9-out,F9-className,F9-nowarn,F9-port,F9-buildfile,F9-length,F9-dir,F9-env,F10-NA,F10-true,F19-NA,F19-abstract,F19-interface,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-String[],F4-boolean,F4-InputStream,F4-Collection<Resource>,F4-File[],F4-long,F4-Process,F4-StringBuffer,F4-AbstractFileSet,F4-Enumeration,F4-DateFormat,F4-Node,F4-Object,F4-File,F4-Element,F4-void,F4-String,F4-int,F4-SecurityManager,F8-PropertyChecker,F8-Length,F8-GenerateKey,F8-Get,F8-BFT,F8-Checksum,F8-Touch,F8-Execute,F8-Resource,F8-SchemaValidate,F8-MailMessage,F8-Rmic,F8-Available,F8-NA,F8-ReferenceChecker,F8-AbstractFileSet,F8-FixCRLF,F8-AntTypeDefinition,F8-EmailTask,F8-Javac,F11-msg,F11-nested,F11-NA,F11-refid,F11-WEBLOGIC_DEPLOY_CLASS_NAME,F11-classname,F11-FILE_UTILS,F11-method,F11-excludesFileList,F11-type,F11-error,F11-ref,F11-unlessCond,F11-cache,F11-from,F11-name,F11-dir,F11-to,F11-selectorsList,F11-resourceComparators,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-kevj@apache.org,F71-dev-null@apache.org,F71-jskeet@apache.org,F71-donaldp@apache.org,F71-antoine@apache.org,F71-jkf@apache.org,F71-stevel@apache.org,F71-jglick@apache.org,F71-bodewig@apache.org,F71-stefano@apache.org,F71-umagesh@apache.org,F71-sbailliez@apache.org,F71-ehatcher@apache.org,F71-costin@apache.org,F71-rubys@apache.org,F71-peterreilly@apache.org,F71-hibou@apache.org,F71-conor@apache.org,F71-mbenson@apache.org,F71-jhm@apache.org,F74,F73,F84,F146,category
ant-C-0,13254,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,4913,true,13,60,8034,2,0,1108,3,150,0.3772378516624041,739,721,0.9756427604871448,1.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,7,BAD_PRACTICE,0.008950366151342554,DE_MIGHT_IGNORE,19,3,3,0.09222133119486768,0.0056134723336006415,0.0024057738572574178,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,86,8873,4309,9448,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,53,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,626,13499,6,579,open
ant-C-1,13254,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,4913,true,6,60,8034,2,8,1108,2,150,0.9980818414322251,739,721,0.9756427604871448,0.8333333333333334,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,7,MALICIOUS_CODE,8.136696501220504E-4,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,18,2,1,0.09222133119486768,0.0056134723336006415,8.019246190858059E-4,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,13,1202,1624,1777,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,53,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,626,13499,6,579,open
ant-C-2,13254,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,4913,true,15,60,8034,2,8,1108,3,150,0.4936061381074169,739,721,0.9756427604871448,0.6309523809523809,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,7,BAD_PRACTICE,0.04963384865744508,NM_CONFUSING,19,3,0,0.09222133119486768,0.0056134723336006415,4.0096230954290296E-4,-0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,159,12679,4913,13254,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,53,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,626,13499,6,579,open
ant-C-3,13254,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,4913,true,14,60,8034,2,10,1108,3,150,0.1374680306905371,739,721,0.9756427604871448,0.7169312169312169,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,7,BAD_PRACTICE,0.04963384865744508,NM_CONFUSING,19,3,0,0.09222133119486768,0.0056134723336006415,4.0096230954290296E-4,-0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,159,12679,4913,13254,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,53,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,626,13499,6,579,open
ant-C-4,13254,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,4913,true,22,60,8034,2,12,1108,7,150,0.7672634271099744,739,721,0.9756427604871448,0.22727272727272727,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,7,STYLE,0.02115541090317331,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,0.09222133119486768,0.0056134723336006415,8.019246190858059E-4,-1.0,0.0,0.0,0.00819672131147541,0.004838756174169765,-1.0,0.0,0.0024650780608052587,0.004838756174169765,-1.0,-1.0,159,12679,4913,13254,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,53,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,626,13499,6,579,open
ant-C-5,13254,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,4913,true,13,60,8034,2,8,1108,3,150,0.3727621483375959,739,721,0.9756427604871448,0.23076923076923078,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,7,STYLE,0.029292107404393815,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,3,0.09222133119486768,0.0056134723336006415,0.0024057738572574178,-1.0,0.0,0.0,0.00819672131147541,0.004838756174169765,-1.0,0.0,0.0024650780608052587,0.004838756174169765,-1.0,-1.0,98,9947,4365,10522,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,53,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,626,13499,6,579,open
ant-C-6,13254,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,4913,true,13,60,8034,2,0,1108,3,150,0.3772378516624041,739,721,0.9756427604871448,1.0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,7,STYLE,0.03824247355573637,REC_CATCH_EXCEPTION,20,3,3,0.09222133119486768,0.0056134723336006415,0.0024057738572574178,-1.0,0.0,0.0,0.00819672131147541,0.004838756174169765,-1.0,0.0,0.0024650780608052587,0.004838756174169765,-1.0,-1.0,86,8873,4309,9448,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,53,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,626,13499,6,579,open
ant-C-7,8642,org/apache/tools/ant,org/apache/tools/ant/AntClassLoaderTest.java,4232,true,26,10,8034,2,0,1108,1,150,0.8691099476439791,142,32,0.22535211267605634,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,3,I18N,0.13506916192026036,DM_DEFAULT_ENCODING,19,1,1,0.09222133119486768,0.0024057738572574178,8.019246190858059E-4,-1.0,0.006024096385542169,0.0029939033241399337,0.005291005291005291,3.5665199427919074E-6,-0.9879518072289156,0.0,8.216926869350862E-4,3.5665199427919074E-6,-1.0,-1.0,1,1190,1616,1765,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,235,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,808,13499,6,579,open
ant-C-8,8642,org/apache/tools/ant,org/apache/tools/ant/AntClassLoaderTest.java,4232,true,6,10,8034,2,4,1108,2,150,0.27225130890052357,142,32,0.22535211267605634,0.8333333333333334,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,3,CORRECTNESS,0.06834825061025224,IJU_TEARDOWN_NO_SUPER,7,2,1,0.09222133119486768,0.0024057738572574178,8.019246190858059E-4,-1.0,0.011764705882352941,9.688581314878892E-4,0.008928571428571428,1.1061961549325611E-4,-0.9764705882352941,0.0,8.216926869350862E-4,1.1061961549325611E-4,-1.0,-1.0,18,8067,4232,8642,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,235,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,808,13499,6,579,close
ant-C-9,8642,org/apache/tools/ant,org/apache/tools/ant/AntClassLoaderTest.java,4232,true,30,10,8034,2,8,1108,3,150,0.39790575916230364,142,32,0.22535211267605634,0.1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,3,STYLE,0.07892595606183889,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.09222133119486768,0.0024057738572574178,8.019246190858059E-4,-1.0,0.010101010101010102,3.4479240330859975E-4,0.00819672131147541,0.004838756174169765,-0.9797979797979798,0.0,0.0024650780608052587,0.004838756174169765,-1.0,-1.0,3,1198,1623,1773,71,0.0,7,5,66,83,0.011083060317191914,0,0,0,0,0,0,0,0.0,0,42,0,4,7,0,53,38,0.0067250040512072595,235,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,808,13499,6,579,close
