F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-Configuration,F16-HRegionInfo,F16-List<String>,F16-List<PeekingResultIterator>,F16-PDataType,F16-Expression,F16-Boolean,F16-PMetaData,F16-NA,F16-void,F16-int,F16-boolean,F16-String,F16-Date,F16-ParseNode,F16-PDatum,F16-KeyRange,F16-PhoenixArray,F16-MutationState,F16-Void,F3-TEST_PROPERTIES,F3-NA,F3-SortOrder.DESC,F3-SortOrder.ASC,F3-null,F3-byte[],F3-getUrl(),F3-boolean,F3-Object,F3-PhoenixArray,F3-String,F3-long,F3-int,F3-Properties,F3-List<ParseNode>,F3-BitSet,F3-PreparedStatement,F3-input,F3-Connection,F3-PDataType,F7-|,F7--,F7-/,F7-++,F7-|=,F7-+=,F7-NA,F7-*,F7-/=,F7-+,F12-long,F12-int,F12-PTimestamp,F12-PDouble,F12-NA,F12-VerifyingIndexCodec,F12-Queue<TableStateVerifier>,F12-boolean,F12-List<FunctionArgument>,F12-HTable,F12-PName,F12-BigDecimal,F12-Tuple,F12-byte[],F12-String,F12-KeySlot,F12-PInteger,F12-PBoolean,F12-KeyRange,F12-PeekingResultIterator,F17-static,F17-final,F17-static-final,F17-NA,F2-UpsertSelectIT,F2-ResultSet,F2-Class,F2-ArrayPrependFunctionTest,F2-RowValueConstructorIT,F2-NA,F2-ToCharFunctionIT,F2-BigDecimal,F2-TenantIdTypeIT,F2-Wrapper,F2-Object,F2-Connection,F2-String,F2-PhoenixUtil,F2-PreparedStatement,F2-QueryMoreIT,F2-DriverManager,F2-UpsertValuesIT,F2-Statement,F2-File,F6-java.sql.Date,F6-org.apache.phoenix.coprocessor.Delete,F6-NA,F6-org.apache.phoenix.expression.PhoenixArray,F6-java.io.FileOutputStream,F6-org.apache.phoenix.coprocessor.Put,F6-java.util.Properties,F6-java.math.BigDecimal,F6-java.io.PrintWriter,F6-org.apache.phoenix.hbase.index.balancer.HBaseAdmin,F6-java.io.File,F6-java.lang.String,F6-java.lang.StringBuilder,F6-PhoenixArray.PrimitiveBytePhoenixArray,F6-java.util.concurrent.CountDownLatch,F6-java.lang.Double,F6-org.apache.phoenix.mapreduce.Path,F6-java.io.BufferedReader,F6-org.apache.phoenix.schema.types.PhoenixArray,F6-org.apache.phoenix.expression.ImmutableBytesPtr,F13-private,F13-NA,F13-public,F18-private,F18-NA,F18-public,F14-static-final,F14-final-final,F14-NA,F14-final,F1-executeQuery,F1-NA,F1-close,F1-prepareStatement,F1-getUrl,F1-deepCopy,F1-execute,F1-get,F1-getConnection,F1-format,F1-test,F1-toUpperCase,F1-match,F1-nextConnection,F1-getSqlType,F1-closeStmtAndConn,F1-toObject,F1-executeUpdate,F1-createStatement,F1-assertTrue,F5-java.lang.Object,F5-NA,F5-PDataType,F5-java.io.Writer,F5-java.util.zip.ZipOutputStream,F5-java.text.NumberFormat,F5-PWholeNumber,F5-PhoenixStatementFactory,F5-java.util.Hashtable,F5-PSmallint.ShortCodec,F5-java.io.InputStreamReader,F5-BaseCodec,F5-java.util.Date,F5-java.lang.Number,F5-java.io.Reader,F5-java.util.AbstractList,F5-java.lang.AbstractStringBuilder,F5-PRealNumber,F5-java.io.OutputStream,F5-java.util.AbstractSet,F9-duration,F9-query,F9-tableName,F9-columns,F9-intersection,F9-a,F9-b,F9-hbaseRootDir,F9-startTime,F9-statement,F9-msg,F9-minKey,F9-info,F9-end,F9-fs,F9-rowCount,F9-NA,F9-scan,F9-conf,F9-parameterCount,F10-NA,F10-true,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-boolean,F4-InputStream,F4-File[],F4-long,F4-ResultSet,F4-Statement,F4-PreparedStatement,F4-Connection,F4-byte[],F4-ResultSetMetaData,F4-void,F4-Array,F4-List,F4-T,F4-String,F4-int,F4-Class,F4-DataTypeMapping,F4-QueryPlan,F8-RunTime,F8-KeyRangeCoalesceTest,F8-ColumnReference,F8-WALReplayWithIndexWritesAndCompressedWALIT,F8-QueryVerifier,F8-StatisticsCollector,F8-Info,F8-Scenario,F8-PhoenixConnection,F8-PairInt,F8-ScanWrapper,F8-PhoenixPreparedStatement,F8-PhoenixPigDBWritable,F8-KeyRangeUnionTest,F8-PhoenixHBaseLoader,F8-ListMatchingVerifier,F8-NA,F8-KeyRangeIntersectTest,F8-TableRowkeyPair,F11-onConditions,F11-rowCount,F11-tuple,F11-NA,F11-numRecordsRead,F11-delegate,F11-elapsedDurationInMs,F11-MAX_DOUBLE_AS_BIG_DECIMAL,F11-kvBuilder,F11-args,F11-functionName,F11-INSTANCE,F11-className,F11-type,F11-startTime,F11-put,F11-singleValueOnly,F11-slot,F11-jarPath,F11-table,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-ramkrishna.s.vasudevan@intel.com,F71-jtaylor@salesforce.com,F71-jamestaylor@apache.org,F71-tdsilva@salesforce.com,F71-ndimiduk@apache.org,F71-twdsilva@gmail.com,F71-samarth.jain@salesforce.com,F71-jeffreyz@apache.org,F71-enis@apache.org,F71-maryannxue@apache.org,F71-jzhong@JZhongs-MacBook-Pro.local,F71-elilevine@apache.org,F71-stoens@apache.org,F71-jmahonin@interset.com,F71-gabrielr@ngdata.com,F71-rajeshbabu@apache.org,F71-ramkrishna.s.vasudevan@gmail.com,F71-samarth@apache.org,F71-mujtaba@apache.org,F71-wei.xue@intel.com,F74,F73,F84,F146,category
1702,org/apache/hadoop/hbase/ipc,org/apache/hadoop/hbase/ipc/PhoenixIndexRpcSchedulerTest.java,587,true,34,3,154,1,8,19,5,3,0.5631067961165048,60,28,0.4666666666666667,0.35294117647058826,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CORRECTNESS,0.020399666944213156,RV_RETURN_VALUE_IGNORED,5,2,1,1.280901754835404E-4,1.280901754835404E-4,1.280901754835404E-4,-1.0,0.16326530612244897,0.006209533906326909,0.09859154929577464,0.22463318279726452,-0.673469387755102,0.0,0.005828476269775187,418.88028169014086,-1.0,-1.0,5,954,587,1702,0,0.0,0,0,0,0,0.0,4,68,0,72,0,-64,0,0.031716381428413626,0,75,0,72,0,0,147,3,0.055978825707397845,320,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1065,1977,320,1065,open
1585,org/apache/hadoop/hbase/regionserver,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReader.java,506,true,11,10,1132,2,8,83,1,15,0.2568627450980392,355,115,0.323943661971831,0.8181818181818182,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,MALICIOUS_CODE,0.017901748542880933,EI_EXPOSE_REP2,18,2,4,0.001537082105802485,6.404508774177021E-4,5.123607019341616E-4,1.0,0.4418604651162791,0.027402199387056066,0.11971830985915492,0.022524942568539267,-0.11627906976744186,0.0,0.014154870940882597,511.1056338028169,0.6666666666666666,1.0,4,529,344,1277,7,0.0,1,1,6,9,0.024456521739130436,71,32,7,110,0,39,0,0.1331849617785883,0,1513,0,113,11,0,1637,1400,0.09833595698805914,320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1977,86,832,close
1585,org/apache/hadoop/hbase/regionserver,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReader.java,506,true,11,10,1132,2,8,83,1,15,0.2529411764705882,355,115,0.323943661971831,0.6363636363636364,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,MALICIOUS_CODE,0.017901748542880933,EI_EXPOSE_REP2,18,2,4,0.001537082105802485,6.404508774177021E-4,5.123607019341616E-4,1.0,0.4418604651162791,0.027402199387056066,0.11971830985915492,0.022524942568539267,-0.11627906976744186,0.0,0.014154870940882597,511.1056338028169,0.6666666666666666,1.0,5,837,506,1585,7,0.0,1,1,6,9,0.024456521739130436,71,32,7,110,0,39,0,0.1331849617785883,0,1513,0,113,11,0,1637,1400,0.09833595698805914,320,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1977,86,832,close
1585,org/apache/hadoop/hbase/regionserver,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReader.java,506,true,11,10,1132,2,8,83,1,15,0.19215686274509805,355,115,0.323943661971831,0.8181818181818182,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,MALICIOUS_CODE,0.017901748542880933,EI_EXPOSE_REP2,18,2,4,0.001537082105802485,6.404508774177021E-4,5.123607019341616E-4,1.0,0.4418604651162791,0.027402199387056066,0.11971830985915492,0.022524942568539267,-0.11627906976744186,0.0,0.014154870940882597,511.1056338028169,0.6666666666666666,1.0,4,529,344,1277,7,0.0,1,1,6,9,0.024456521739130436,71,32,7,110,0,39,0,0.1331849617785883,0,1513,0,113,11,0,1637,1400,0.09833595698805914,320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1977,86,832,close
1585,org/apache/hadoop/hbase/regionserver,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReader.java,506,true,11,10,1132,2,8,83,1,15,0.18823529411764706,355,115,0.323943661971831,0.6363636363636364,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,MALICIOUS_CODE,0.017901748542880933,EI_EXPOSE_REP2,18,2,4,0.001537082105802485,6.404508774177021E-4,5.123607019341616E-4,1.0,0.4418604651162791,0.027402199387056066,0.11971830985915492,0.022524942568539267,-0.11627906976744186,0.0,0.014154870940882597,511.1056338028169,0.6666666666666666,1.0,5,837,506,1585,7,0.0,1,1,6,9,0.024456521739130436,71,32,7,110,0,39,0,0.1331849617785883,0,1513,0,113,11,0,1637,1400,0.09833595698805914,320,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1977,86,832,close
1585,org/apache/hadoop/hbase/regionserver,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReader.java,506,true,3,10,1132,2,8,83,1,15,0.9764705882352941,355,115,0.323943661971831,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,STYLE,0.005412156536219817,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,0.001537082105802485,6.404508774177021E-4,1.280901754835404E-4,1.0,0.38461538461538464,0.007889546351084813,0.1300639658848614,0.14822615851478552,-0.23076923076923078,0.0,0.0253955037468776,524.3518123667377,0.6666666666666666,1.0,5,837,506,1585,7,0.0,1,1,6,9,0.024456521739130436,71,32,7,110,0,39,0,0.1331849617785883,0,1513,0,113,11,0,1637,1400,0.09833595698805914,320,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1065,1977,86,832,close
1585,org/apache/hadoop/hbase/regionserver,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReaderGenerator.java,506,true,261,4,1132,1,21,83,49,15,0.4980544747081712,230,19,0.08260869565217391,0.21264367816091953,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,STYLE,0.049125728559533725,NP_LOAD_OF_KNOWN_NULL_VALUE,16,2,2,0.001537082105802485,2.561803509670808E-4,2.561803509670808E-4,-1.0,0.0,0.0,0.1300639658848614,0.14822615851478552,-1.0,0.0,0.0253955037468776,524.3518123667377,0.6666666666666666,-1.0,5,837,506,1585,7,0.0,1,1,6,9,0.024456521739130436,60,5,0,65,0,55,0,0.08844263410693431,0,1513,0,113,11,0,1637,1400,0.09833595698805914,318,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1977,86,832,open
1585,org/apache/hadoop/hbase/regionserver,org/apache/hadoop/hbase/regionserver/IndexHalfStoreFileReaderGenerator.java,506,true,87,4,1132,1,12,83,17,15,0.3657587548638132,230,19,0.08260869565217391,0.19540229885057472,83,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,STYLE,0.013738551207327226,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,2,0.001537082105802485,2.561803509670808E-4,2.561803509670808E-4,-1.0,0.18181818181818182,0.0049586776859504135,0.1300639658848614,0.14822615851478552,-0.6363636363636364,0.0,0.0253955037468776,524.3518123667377,0.6666666666666666,-1.0,5,837,506,1585,7,0.0,1,1,6,9,0.024456521739130436,60,5,0,65,0,55,0,0.08844263410693431,0,1513,0,113,11,0,1637,1400,0.09833595698805914,318,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1977,86,832,open
1585,org/apache/hadoop/hbase/regionserver,org/apache/hadoop/hbase/regionserver/IndexSplitTransaction.java,506,true,5,24,1132,6,4,83,1,15,0.13922764227642276,611,297,0.486088379705401,0.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,MALICIOUS_CODE,0.017901748542880933,EI_EXPOSE_REP2,18,2,1,0.001537082105802485,5.123607019341616E-4,1.280901754835404E-4,1.0,0.4418604651162791,0.027402199387056066,0.11971830985915492,0.022524942568539267,-0.11627906976744186,0.0,0.014154870940882597,511.1056338028169,0.6666666666666666,1.0,6,837,506,1585,7,0.0,1,1,6,9,0.024456521739130436,886,55,1,942,0,831,0,0.21719704171797194,0,1513,0,113,11,0,1637,1400,0.09833595698805914,318,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1977,86,832,close
1585,org/apache/hadoop/hbase/regionserver,org/apache/hadoop/hbase/regionserver/IndexSplitTransaction.java,506,true,2,24,1132,6,0,83,1,15,0.27134146341463417,611,297,0.486088379705401,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,STYLE,0.013738551207327226,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,1,0.001537082105802485,5.123607019341616E-4,1.280901754835404E-4,1.0,0.18181818181818182,0.0049586776859504135,0.1300639658848614,0.14822615851478552,-0.6363636363636364,0.0,0.0253955037468776,524.3518123667377,0.6666666666666666,1.0,6,837,506,1585,7,0.0,1,1,6,9,0.024456521739130436,886,55,1,942,0,831,0,0.21719704171797194,0,1513,0,113,11,0,1637,1400,0.09833595698805914,318,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1064,1977,86,832,close
